date,store_nbr,family,sales,onpromotion,oil prices
2013-01-01,1.0,AUTOMOTIVE,0.0,0.0,
2013-01-01,1.0,BABY CARE,0.0,0.0,
2013-01-01,1.0,BEAUTY,0.0,0.0,
2013-01-01,1.0,BEVERAGES,0.0,0.0,
2013-01-01,1.0,BOOKS,0.0,0.0,
2013-01-02,1.0,AUTOMOTIVE,2.0,0.0,93.14
2013-01-02,1.0,BABY CARE,0.0,0.0,93.14
2013-01-02,1.0,BEAUTY,2.0,0.0,93.14
2013-01-02,1.0,BEVERAGES,1091.0,0.0,93.14
2013-01-02,1.0,BOOKS,0.0,0.0,93.14
2013-01-03,1.0,AUTOMOTIVE,3.0,0.0,92.97
2013-01-03,1.0,BABY CARE,0.0,0.0,92.97
2013-01-03,1.0,BEAUTY,0.0,0.0,92.97
2013-01-03,1.0,BEVERAGES,919.0,0.0,92.97
2013-01-03,1.0,BOOKS,0.0,0.0,92.97
2013-01-04,1.0,AUTOMOTIVE,3.0,0.0,93.12
2013-01-04,1.0,BABY CARE,0.0,0.0,93.12
2013-01-04,1.0,BEAUTY,3.0,0.0,93.12
2013-01-04,1.0,BEVERAGES,953.0,0.0,93.12
2013-01-04,1.0,BOOKS,0.0,0.0,93.12
2013-01-07,1.0,AUTOMOTIVE,0.0,0.0,93.2
2013-01-07,1.0,BABY CARE,0.0,0.0,93.2
2013-01-07,1.0,BEAUTY,1.0,0.0,93.2
2013-01-07,1.0,BEVERAGES,1158.0,0.0,93.2
2013-01-07,1.0,BOOKS,0.0,0.0,93.2
2013-01-08,1.0,AUTOMOTIVE,2.0,0.0,93.21
2013-01-08,1.0,BABY CARE,0.0,0.0,93.21
2013-01-08,1.0,BEAUTY,3.0,0.0,93.21
2013-01-08,1.0,BEVERAGES,1029.0,0.0,93.21
2013-01-08,1.0,BOOKS,0.0,0.0,93.21
2013-01-09,1.0,AUTOMOTIVE,2.0,0.0,93.08
2013-01-09,1.0,BABY CARE,0.0,0.0,93.08
2013-01-09,1.0,BEAUTY,1.0,0.0,93.08
2013-01-09,1.0,BEVERAGES,1186.0,0.0,93.08
2013-01-09,1.0,BOOKS,0.0,0.0,93.08
2013-01-10,1.0,AUTOMOTIVE,2.0,0.0,93.81
2013-01-10,1.0,BABY CARE,0.0,0.0,93.81
2013-01-10,1.0,BEAUTY,3.0,0.0,93.81
2013-01-10,1.0,BEVERAGES,847.0,0.0,93.81
2013-01-10,1.0,BOOKS,0.0,0.0,93.81
2013-01-11,1.0,AUTOMOTIVE,3.0,0.0,93.6
2013-01-11,1.0,BABY CARE,0.0,0.0,93.6
2013-01-11,1.0,BEAUTY,2.0,0.0,93.6
2013-01-11,1.0,BEVERAGES,1033.0,0.0,93.6
2013-01-11,1.0,BOOKS,0.0,0.0,93.6
2013-01-14,1.0,AUTOMOTIVE,2.0,0.0,94.27
2013-01-14,1.0,BABY CARE,0.0,0.0,94.27
2013-01-14,1.0,BEAUTY,2.0,0.0,94.27
2013-01-14,1.0,BEVERAGES,1178.0,0.0,94.27
2013-01-14,1.0,BOOKS,0.0,0.0,94.27
2013-01-15,1.0,AUTOMOTIVE,1.0,0.0,93.26
2013-01-15,1.0,BABY CARE,0.0,0.0,93.26
2013-01-15,1.0,BEAUTY,0.0,0.0,93.26
2013-01-15,1.0,BEVERAGES,1149.0,0.0,93.26
2013-01-15,1.0,BOOKS,0.0,0.0,93.26
2013-01-16,1.0,AUTOMOTIVE,1.0,0.0,94.28
2013-01-16,1.0,BABY CARE,0.0,0.0,94.28
2013-01-16,1.0,BEAUTY,2.0,0.0,94.28
2013-01-16,1.0,BEVERAGES,1043.0,0.0,94.28
2013-01-16,1.0,BOOKS,0.0,0.0,94.28
2013-01-17,1.0,AUTOMOTIVE,1.0,0.0,95.49
2013-01-17,1.0,BABY CARE,0.0,0.0,95.49
2013-01-17,1.0,BEAUTY,2.0,0.0,95.49
2013-01-17,1.0,BEVERAGES,898.0,0.0,95.49
2013-01-17,1.0,BOOKS,0.0,0.0,95.49
2013-01-18,1.0,AUTOMOTIVE,0.0,0.0,95.61
2013-01-18,1.0,BABY CARE,0.0,0.0,95.61
2013-01-18,1.0,BEAUTY,4.0,0.0,95.61
2013-01-18,1.0,BEVERAGES,1130.0,0.0,95.61
2013-01-18,1.0,BOOKS,0.0,0.0,95.61
2013-01-21,1.0,AUTOMOTIVE,1.0,0.0,
2013-01-21,1.0,BABY CARE,0.0,0.0,
2013-01-21,1.0,BEAUTY,0.0,0.0,
2013-01-21,1.0,BEVERAGES,1104.0,0.0,
2013-01-21,1.0,BOOKS,0.0,0.0,
2013-01-22,1.0,AUTOMOTIVE,1.0,0.0,96.09
2013-01-22,1.0,BABY CARE,0.0,0.0,96.09
2013-01-22,1.0,BEAUTY,1.0,0.0,96.09
2013-01-22,1.0,BEVERAGES,1037.0,0.0,96.09
2013-01-22,1.0,BOOKS,0.0,0.0,96.09
2013-01-23,1.0,AUTOMOTIVE,3.0,0.0,95.06
2013-01-23,1.0,BABY CARE,0.0,0.0,95.06
2013-01-23,1.0,BEAUTY,0.0,0.0,95.06
2013-01-23,1.0,BEVERAGES,1052.0,0.0,95.06
2013-01-23,1.0,BOOKS,0.0,0.0,95.06
2013-01-24,1.0,AUTOMOTIVE,0.0,0.0,95.35
2013-01-24,1.0,BABY CARE,0.0,0.0,95.35
2013-01-24,1.0,BEAUTY,0.0,0.0,95.35
2013-01-24,1.0,BEVERAGES,846.0,0.0,95.35
2013-01-24,1.0,BOOKS,0.0,0.0,95.35
2013-01-25,1.0,AUTOMOTIVE,5.0,0.0,95.15
2013-01-25,1.0,BABY CARE,0.0,0.0,95.15
2013-01-25,1.0,BEAUTY,2.0,0.0,95.15
2013-01-25,1.0,BEVERAGES,1103.0,0.0,95.15
2013-01-25,1.0,BOOKS,0.0,0.0,95.15
2013-01-28,1.0,AUTOMOTIVE,3.0,0.0,95.95
2013-01-28,1.0,BABY CARE,0.0,0.0,95.95
2013-01-28,1.0,BEAUTY,0.0,0.0,95.95
2013-01-28,1.0,BEVERAGES,772.0,0.0,95.95
2013-01-28,1.0,BOOKS,0.0,0.0,95.95
2013-01-29,1.0,AUTOMOTIVE,2.0,0.0,97.62
2013-01-29,1.0,BABY CARE,0.0,0.0,97.62
2013-01-29,1.0,BEAUTY,3.0,0.0,97.62
2013-01-29,1.0,BEVERAGES,932.0,0.0,97.62
2013-01-29,1.0,BOOKS,0.0,0.0,97.62
2013-01-30,1.0,AUTOMOTIVE,6.0,0.0,97.98
2013-01-30,1.0,BABY CARE,0.0,0.0,97.98
2013-01-30,1.0,BEAUTY,3.0,0.0,97.98
2013-01-30,1.0,BEVERAGES,1031.0,0.0,97.98
2013-01-30,1.0,BOOKS,0.0,0.0,97.98
2013-01-31,1.0,AUTOMOTIVE,0.0,0.0,97.65
2013-01-31,1.0,BABY CARE,0.0,0.0,97.65
2013-01-31,1.0,BEAUTY,2.0,0.0,97.65
2013-01-31,1.0,BEVERAGES,889.0,0.0,97.65
2013-01-31,1.0,BOOKS,0.0,0.0,97.65
2013-02-01,1.0,AUTOMOTIVE,3.0,0.0,97.46
2013-02-01,1.0,BABY CARE,0.0,0.0,97.46
2013-02-01,1.0,BEAUTY,0.0,0.0,97.46
2013-02-01,1.0,BEVERAGES,941.0,0.0,97.46
2013-02-01,1.0,BOOKS,0.0,0.0,97.46
2013-02-04,1.0,AUTOMOTIVE,5.0,0.0,96.21
2013-02-04,1.0,BABY CARE,0.0,0.0,96.21
2013-02-04,1.0,BEAUTY,0.0,0.0,96.21
2013-02-04,1.0,BEVERAGES,775.0,0.0,96.21
2013-02-04,1.0,BOOKS,0.0,0.0,96.21
2013-02-05,1.0,AUTOMOTIVE,0.0,0.0,96.68
2013-02-05,1.0,BABY CARE,0.0,0.0,96.68
2013-02-05,1.0,BEAUTY,3.0,0.0,96.68
2013-02-05,1.0,BEVERAGES,794.0,0.0,96.68
2013-02-05,1.0,BOOKS,0.0,0.0,96.68
2013-02-06,1.0,AUTOMOTIVE,1.0,0.0,96.44
2013-02-06,1.0,BABY CARE,0.0,0.0,96.44
2013-02-06,1.0,BEAUTY,3.0,0.0,96.44
2013-02-06,1.0,BEVERAGES,923.0,0.0,96.44
2013-02-06,1.0,BOOKS,0.0,0.0,96.44
2013-02-07,1.0,AUTOMOTIVE,1.0,0.0,95.84
2013-02-07,1.0,BABY CARE,0.0,0.0,95.84
2013-02-07,1.0,BEAUTY,1.0,0.0,95.84
2013-02-07,1.0,BEVERAGES,794.0,0.0,95.84
2013-02-07,1.0,BOOKS,0.0,0.0,95.84
2013-02-08,1.0,AUTOMOTIVE,2.0,0.0,95.71
2013-02-08,1.0,BABY CARE,0.0,0.0,95.71
2013-02-08,1.0,BEAUTY,2.0,0.0,95.71
2013-02-08,1.0,BEVERAGES,949.0,0.0,95.71
2013-02-08,1.0,BOOKS,0.0,0.0,95.71
2013-02-11,1.0,AUTOMOTIVE,0.0,0.0,97.01
2013-02-11,1.0,BABY CARE,0.0,0.0,97.01
2013-02-11,1.0,BEAUTY,0.0,0.0,97.01
2013-02-11,1.0,BEVERAGES,172.0,0.0,97.01
2013-02-11,1.0,BOOKS,0.0,0.0,97.01
2013-02-12,1.0,AUTOMOTIVE,0.0,0.0,97.48
2013-02-12,1.0,BABY CARE,0.0,0.0,97.48
2013-02-12,1.0,BEAUTY,0.0,0.0,97.48
2013-02-12,1.0,BEVERAGES,280.0,0.0,97.48
2013-02-12,1.0,BOOKS,0.0,0.0,97.48
2013-02-13,1.0,AUTOMOTIVE,0.0,0.0,97.03
2013-02-13,1.0,BABY CARE,0.0,0.0,97.03
2013-02-13,1.0,BEAUTY,2.0,0.0,97.03
2013-02-13,1.0,BEVERAGES,823.0,0.0,97.03
2013-02-13,1.0,BOOKS,0.0,0.0,97.03
2013-02-14,1.0,AUTOMOTIVE,0.0,0.0,97.3
2013-02-14,1.0,BABY CARE,0.0,0.0,97.3
2013-02-14,1.0,BEAUTY,1.0,0.0,97.3
2013-02-14,1.0,BEVERAGES,728.0,0.0,97.3
2013-02-14,1.0,BOOKS,0.0,0.0,97.3
2013-02-15,1.0,AUTOMOTIVE,0.0,0.0,95.95
2013-02-15,1.0,BABY CARE,0.0,0.0,95.95
2013-02-15,1.0,BEAUTY,1.0,0.0,95.95
2013-02-15,1.0,BEVERAGES,905.0,0.0,95.95
2013-02-15,1.0,BOOKS,0.0,0.0,95.95
2013-02-18,1.0,AUTOMOTIVE,2.0,0.0,
2013-02-18,1.0,BABY CARE,0.0,0.0,
2013-02-18,1.0,BEAUTY,1.0,0.0,
2013-02-18,1.0,BEVERAGES,933.0,0.0,
2013-02-18,1.0,BOOKS,0.0,0.0,
2013-02-19,1.0,AUTOMOTIVE,4.0,0.0,96.69
2013-02-19,1.0,BABY CARE,0.0,0.0,96.69
2013-02-19,1.0,BEAUTY,1.0,0.0,96.69
2013-02-19,1.0,BEVERAGES,852.0,0.0,96.69
2013-02-19,1.0,BOOKS,0.0,0.0,96.69
2013-02-20,1.0,AUTOMOTIVE,2.0,0.0,94.92
2013-02-20,1.0,BABY CARE,0.0,0.0,94.92
